feature,es-Newsela01,es-Newsela01,es-Newsela01,es-Newsela12,es-Newsela12,es-Newsela12,es-Newsela23,es-Newsela23,es-Newsela23,es-Newsela34,es-Newsela34,es-Newsela34,es-Newsela45,es-Newsela45,es-Newsela45
,complex,simple,effect size,complex,simple,effect size,complex,simple,effect size,complex,simple,effect size,complex,simple,effect size
average_pos_in_freq_table,5.07$\pm$0.48,5.06$\pm$0.49,,5.09$\pm$0.51,5.1$\pm$0.52,,5.12$\pm$0.55,5.12$\pm$0.57,,5.14$\pm$0.6,5.18$\pm$0.63,,5.21$\pm$0.74,5.23$\pm$0.66,
check_if_head_is_noun,0.1$\pm$0.3,0.11$\pm$0.31,,0.11$\pm$0.32,0.13$\pm$0.33,,0.12$\pm$0.33,0.14$\pm$0.34,,0.13$\pm$0.34,0.15$\pm$0.36,,0.19$\pm$0.39,0.17$\pm$0.37,
check_if_head_is_verb,0.8$\pm$0.4,0.81$\pm$0.39,,0.79$\pm$0.41,0.8$\pm$0.4,,0.78$\pm$0.41,0.8$\pm$0.4,,0.76$\pm$0.43,0.77$\pm$0.42,,0.68$\pm$0.47,0.74$\pm$0.44,
check_if_one_child_of_root_is_subject,0.69$\pm$0.46,0.69$\pm$0.46,,0.71$\pm$0.45,0.69$\pm$0.46,,0.71$\pm$0.46,0.67$\pm$0.47,,0.69$\pm$0.46,0.66$\pm$0.47,,0.67$\pm$0.47,0.73$\pm$0.44,
check_passive_voice,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.0,0.0$\pm$0.0,
count_characters,167.79$\pm$92.16,154.09$\pm$82.12,**,137.46$\pm$68.29,125.05$\pm$62.43,**,112.05$\pm$58.89,96.92$\pm$50.39,**,84.35$\pm$44.51,73.38$\pm$38.84,**,71.78$\pm$37.47,58.92$\pm$33.01,**
count_characters_per_sentence,155.36$\pm$88.14,131.29$\pm$64.35,**,129.89$\pm$64.81,107.26$\pm$49.55,***,104.09$\pm$49.77,81.55$\pm$35.44,***,77.94$\pm$35.19,62.25$\pm$26.39,***,62.69$\pm$25.09,48.04$\pm$19.9,***
count_characters_per_word,5.28$\pm$0.68,5.25$\pm$0.68,*,5.26$\pm$0.68,5.22$\pm$0.68,*,5.21$\pm$0.7,5.13$\pm$0.7,*,5.13$\pm$0.72,5.07$\pm$0.73,*,4.98$\pm$0.64,4.97$\pm$0.73,
count_sentences,1.14$\pm$0.37,1.22$\pm$0.45,*,1.09$\pm$0.31,1.21$\pm$0.44,*,1.1$\pm$0.35,1.23$\pm$0.53,*,1.1$\pm$0.37,1.21$\pm$0.52,*,1.15$\pm$0.38,1.27$\pm$0.67,
count_syllables_in_sentence,57.88$\pm$31.33,53.22$\pm$27.94,**,47.52$\pm$23.25,43.21$\pm$21.2,**,38.74$\pm$19.97,33.49$\pm$17.08,**,29.11$\pm$15.01,25.37$\pm$13.14,**,25.12$\pm$12.83,20.62$\pm$11.32,**
count_syllables_per_sentence,53.54$\pm$29.95,45.33$\pm$21.86,**,44.86$\pm$22.02,37.05$\pm$16.8,***,35.97$\pm$16.86,28.18$\pm$11.99,***,26.89$\pm$11.9,21.55$\pm$8.96,***,21.93$\pm$8.46,16.79$\pm$6.54,***
count_syllables_per_word,1.84$\pm$0.21,1.83$\pm$0.21,,1.83$\pm$0.22,1.82$\pm$0.22,*,1.81$\pm$0.23,1.78$\pm$0.23,*,1.78$\pm$0.24,1.77$\pm$0.24,*,1.76$\pm$0.21,1.75$\pm$0.24,
count_words,31.31$\pm$16.44,28.96$\pm$14.81,*,25.87$\pm$12.36,23.77$\pm$11.44,**,21.36$\pm$10.8,18.81$\pm$9.45,**,16.35$\pm$8.35,14.43$\pm$7.4,**,14.39$\pm$7.48,11.84$\pm$6.18,**
count_words_per_sentence,28.92$\pm$15.73,24.66$\pm$11.56,**,24.39$\pm$11.66,20.38$\pm$9.06,***,19.82$\pm$9.11,15.81$\pm$6.56,***,15.09$\pm$6.51,12.23$\pm$4.93,***,12.5$\pm$4.62,9.67$\pm$3.72,***
get_average_length_NP,5.74$\pm$2.52,5.35$\pm$2.22,,5.33$\pm$2.26,4.96$\pm$2.04,*,4.87$\pm$2.08,4.39$\pm$1.78,,4.28$\pm$1.77,3.91$\pm$1.59,,4.25$\pm$1.51,3.63$\pm$1.43,
get_average_length_VP,18.27$\pm$8.38,16.75$\pm$7.04,,16.68$\pm$7.13,14.87$\pm$5.97,,14.56$\pm$6.16,12.5$\pm$4.88,,11.96$\pm$4.84,10.28$\pm$3.88,,10.87$\pm$4.3,9.07$\pm$3.33,
get_avg_length_PP,nan$\pm$nan,nan$\pm$nan,,nan$\pm$nan,nan$\pm$nan,,nan$\pm$nan,nan$\pm$nan,,nan$\pm$nan,nan$\pm$nan,,nan$\pm$nan,nan$\pm$nan,
get_lexical_complexity_score,8.8$\pm$0.79,8.77$\pm$0.79,,8.75$\pm$0.8,8.71$\pm$0.83,,8.7$\pm$0.86,8.62$\pm$0.91,*,8.57$\pm$0.94,8.51$\pm$1.01,,8.67$\pm$1.02,8.51$\pm$1.11,
get_parse_tree_height,6.17$\pm$2.18,5.79$\pm$1.83,*,5.77$\pm$1.85,5.35$\pm$1.57,**,5.27$\pm$1.58,4.8$\pm$1.31,**,4.69$\pm$1.31,4.29$\pm$1.13,**,4.23$\pm$1.01,3.78$\pm$0.99,***
get_ratio_clauses,0.08$\pm$0.05,0.08$\pm$0.05,,0.08$\pm$0.05,0.08$\pm$0.05,,0.07$\pm$0.06,0.07$\pm$0.06,,0.07$\pm$0.06,0.06$\pm$0.06,*,0.05$\pm$0.06,0.04$\pm$0.06,
get_ratio_mwes,0.04$\pm$0.06,0.04$\pm$0.06,,0.05$\pm$0.07,0.04$\pm$0.07,,0.04$\pm$0.07,0.04$\pm$0.07,,0.04$\pm$0.07,0.04$\pm$0.07,*,0.05$\pm$0.1,0.04$\pm$0.09,
get_ratio_named_entities,0.07$\pm$0.09,0.08$\pm$0.1,,0.07$\pm$0.1,0.08$\pm$0.11,,0.08$\pm$0.11,0.09$\pm$0.12,,0.08$\pm$0.12,0.09$\pm$0.13,,0.09$\pm$0.14,0.12$\pm$0.16,
get_ratio_of_adjectives,0.06$\pm$0.05,0.06$\pm$0.05,,0.06$\pm$0.05,0.06$\pm$0.05,*,0.06$\pm$0.05,0.05$\pm$0.05,*,0.05$\pm$0.06,0.05$\pm$0.06,,0.06$\pm$0.07,0.05$\pm$0.08,
get_ratio_of_adpositions,0.15$\pm$0.07,0.14$\pm$0.06,*,0.14$\pm$0.07,0.14$\pm$0.07,*,0.13$\pm$0.07,0.13$\pm$0.07,*,0.12$\pm$0.07,0.11$\pm$0.07,*,0.12$\pm$0.07,0.09$\pm$0.07,**
get_ratio_of_adverbs,0.04$\pm$0.05,0.04$\pm$0.05,,0.04$\pm$0.05,0.04$\pm$0.05,,0.04$\pm$0.05,0.04$\pm$0.05,*,0.04$\pm$0.06,0.05$\pm$0.07,,0.05$\pm$0.06,0.05$\pm$0.06,
get_ratio_of_auxiliary_verbs,0.04$\pm$0.04,0.04$\pm$0.04,,0.04$\pm$0.04,0.04$\pm$0.04,*,0.04$\pm$0.05,0.05$\pm$0.05,*,0.05$\pm$0.05,0.05$\pm$0.06,,0.06$\pm$0.07,0.06$\pm$0.07,
get_ratio_of_conjunctions,0.07$\pm$0.06,0.07$\pm$0.06,,0.07$\pm$0.07,0.07$\pm$0.07,,0.07$\pm$0.07,0.06$\pm$0.07,,0.06$\pm$0.08,0.06$\pm$0.08,*,0.04$\pm$0.07,0.04$\pm$0.06,
get_ratio_of_coordinating_clauses,0.02$\pm$0.03,0.02$\pm$0.03,,0.02$\pm$0.03,0.02$\pm$0.03,,0.02$\pm$0.03,0.02$\pm$0.04,,0.02$\pm$0.04,0.02$\pm$0.04,,0.01$\pm$0.02,0.02$\pm$0.04,**
get_ratio_of_determiners,0.13$\pm$0.06,0.13$\pm$0.06,,0.13$\pm$0.06,0.13$\pm$0.06,,0.13$\pm$0.06,0.13$\pm$0.07,,0.13$\pm$0.07,0.13$\pm$0.08,,0.13$\pm$0.07,0.15$\pm$0.08,
get_ratio_of_function_words,0.2$\pm$0.07,0.19$\pm$0.07,,0.19$\pm$0.07,0.19$\pm$0.07,,0.19$\pm$0.08,0.18$\pm$0.08,,0.18$\pm$0.08,0.18$\pm$0.09,,0.18$\pm$0.08,0.17$\pm$0.09,
get_ratio_of_interjections,0.0$\pm$0.01,0.0$\pm$0.01,,0.0$\pm$0.01,0.0$\pm$0.01,,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.0,0.0$\pm$0.0,
get_ratio_of_nouns,0.3$\pm$0.08,0.3$\pm$0.08,,0.31$\pm$0.09,0.31$\pm$0.09,,0.31$\pm$0.09,0.31$\pm$0.1,,0.31$\pm$0.1,0.31$\pm$0.11,,0.32$\pm$0.12,0.32$\pm$0.12,
get_ratio_of_numerals,0.01$\pm$0.03,0.01$\pm$0.03,,0.01$\pm$0.03,0.01$\pm$0.03,,0.01$\pm$0.03,0.01$\pm$0.03,,0.01$\pm$0.04,0.01$\pm$0.04,,0.02$\pm$0.04,0.01$\pm$0.03,
get_ratio_of_particles,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.0,0.0$\pm$0.0,
get_ratio_of_pronouns,0.05$\pm$0.05,0.04$\pm$0.05,,0.04$\pm$0.05,0.04$\pm$0.05,,0.04$\pm$0.05,0.04$\pm$0.05,,0.05$\pm$0.06,0.05$\pm$0.06,,0.04$\pm$0.05,0.04$\pm$0.06,
get_ratio_of_punctuation,0.12$\pm$0.08,0.12$\pm$0.08,*,0.12$\pm$0.08,0.12$\pm$0.08,,0.12$\pm$0.08,0.12$\pm$0.08,*,0.12$\pm$0.08,0.13$\pm$0.08,*,0.13$\pm$0.08,0.14$\pm$0.07,*
get_ratio_of_subordinate_clauses,0.06$\pm$0.04,0.06$\pm$0.04,,0.05$\pm$0.04,0.05$\pm$0.05,,0.05$\pm$0.05,0.05$\pm$0.05,,0.05$\pm$0.05,0.05$\pm$0.05,,0.03$\pm$0.05,0.03$\pm$0.05,
get_ratio_of_symbols,0.0$\pm$0.01,0.0$\pm$0.01,,0.0$\pm$0.01,0.0$\pm$0.01,,0.0$\pm$0.01,0.0$\pm$0.01,,0.0$\pm$0.01,0.0$\pm$0.01,,0.0$\pm$0.0,0.0$\pm$0.0,
get_ratio_of_verbs,0.09$\pm$0.05,0.09$\pm$0.05,*,0.09$\pm$0.05,0.1$\pm$0.06,*,0.1$\pm$0.06,0.1$\pm$0.06,*,0.11$\pm$0.07,0.11$\pm$0.07,*,0.09$\pm$0.06,0.11$\pm$0.07,**
get_ratio_prepositional_phrases,0.13$\pm$0.06,0.12$\pm$0.06,*,0.12$\pm$0.07,0.12$\pm$0.07,*,0.12$\pm$0.07,0.11$\pm$0.07,*,0.1$\pm$0.07,0.1$\pm$0.07,*,0.11$\pm$0.07,0.09$\pm$0.07,**
get_ratio_referential,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.0,0.0$\pm$0.0,
get_ratio_relative_phrases,0.02$\pm$0.02,0.02$\pm$0.02,,0.02$\pm$0.02,0.02$\pm$0.02,,0.02$\pm$0.03,0.01$\pm$0.03,*,0.01$\pm$0.03,0.01$\pm$0.03,*,0.01$\pm$0.03,0.01$\pm$0.02,
get_type_token_ratio,0.86$\pm$0.09,0.87$\pm$0.09,*,0.88$\pm$0.09,0.89$\pm$0.09,*,0.9$\pm$0.09,0.91$\pm$0.08,*,0.93$\pm$0.08,0.94$\pm$0.08,,0.93$\pm$0.07,0.95$\pm$0.09,
is_non_projective,0.03$\pm$0.18,0.03$\pm$0.17,,0.03$\pm$0.17,0.03$\pm$0.16,,0.03$\pm$0.16,0.02$\pm$0.15,,0.02$\pm$0.14,0.02$\pm$0.14,,0.0$\pm$0.0,0.02$\pm$0.14,
max_pos_in_freq_table,10.45$\pm$0.74,10.41$\pm$0.77,*,10.37$\pm$0.78,10.32$\pm$0.81,*,10.27$\pm$0.85,10.16$\pm$0.92,*,10.06$\pm$0.99,9.97$\pm$1.06,*,9.94$\pm$1.14,9.77$\pm$1.2,
sentence_fkgl,20.28$\pm$6.23,19.4$\pm$5.73,**,18.39$\pm$5.07,17.47$\pm$4.87,**,16.66$\pm$4.97,15.44$\pm$4.81,**,14.55$\pm$4.63,13.76$\pm$4.5,*,13.82$\pm$4.17,12.96$\pm$4.03,
sentence_fre,-0.81$\pm$27.45,1.58$\pm$27.18,*,3.92$\pm$27.4,7.09$\pm$27.64,*,9.06$\pm$29.79,13.68$\pm$30.75,**,16.24$\pm$30.41,18.72$\pm$30.47,*,18.23$\pm$29.0,20.16$\pm$27.88,
N,,7529,,,8235,,,6783,,,5707,,,101,
