feature,cs-COSTRA,cs-COSTRA,cs-COSTRA,es-Newsela01,es-Newsela01,es-Newsela01,en-Newsela_2015,en-Newsela_2015,en-Newsela_2015,en-Newsela_201601,en-Newsela_201601,en-Newsela_201601
,complex,simple,effect size,complex,simple,effect size,complex,simple,effect size,complex,simple,effect size
average_pos_in_freq_table,6.38$\pm$0.71,6.34$\pm$1.28,**,5.07$\pm$0.48,5.06$\pm$0.49,,8.03$\pm$0.54,8.01$\pm$0.6,,7.86$\pm$0.63,7.85$\pm$0.63,
check_if_head_is_noun,0.1$\pm$0.3,0.09$\pm$0.28,,0.1$\pm$0.3,0.11$\pm$0.31,,0.05$\pm$0.22,0.04$\pm$0.19,,0.04$\pm$0.21,0.04$\pm$0.2,
check_if_head_is_verb,0.79$\pm$0.41,0.81$\pm$0.4,,0.8$\pm$0.4,0.81$\pm$0.39,,0.81$\pm$0.39,0.79$\pm$0.41,,0.78$\pm$0.41,0.8$\pm$0.4,
check_if_one_child_of_root_is_subject,0.52$\pm$0.5,0.48$\pm$0.5,,0.69$\pm$0.46,0.69$\pm$0.46,,0.87$\pm$0.34,0.87$\pm$0.33,,0.87$\pm$0.34,0.87$\pm$0.34,
check_passive_voice,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.0,0.0$\pm$0.0,,0.19$\pm$0.4,0.16$\pm$0.36,,0.17$\pm$0.38,0.18$\pm$0.39,
count_characters,62.1$\pm$16.12,48.52$\pm$19.03,***,167.79$\pm$92.16,154.09$\pm$82.12,**,139.88$\pm$61.04,88.75$\pm$36.6,***,129.94$\pm$69.63,124.33$\pm$65.57,*
count_characters_per_sentence,62.1$\pm$16.12,48.52$\pm$19.03,***,155.36$\pm$88.14,131.29$\pm$64.35,**,134.74$\pm$59.77,86.18$\pm$35.39,***,123.43$\pm$65.79,104.87$\pm$46.79,**
count_characters_per_word,5.43$\pm$0.93,5.29$\pm$1.37,**,5.28$\pm$0.68,5.25$\pm$0.68,*,5.32$\pm$0.55,5.15$\pm$0.59,**,4.99$\pm$0.75,4.96$\pm$0.73,*
count_sentences,1.0$\pm$0.0,1.0$\pm$0.0,,1.14$\pm$0.37,1.22$\pm$0.45,*,1.06$\pm$0.25,1.04$\pm$0.21,,1.08$\pm$0.31,1.2$\pm$0.47,**
count_syllables_in_sentence,22.63$\pm$6.13,17.85$\pm$7.19,***,57.88$\pm$31.33,53.22$\pm$27.94,**,37.62$\pm$16.74,23.6$\pm$10.01,***,36.19$\pm$19.18,34.54$\pm$17.99,*
count_syllables_per_sentence,22.63$\pm$6.13,17.85$\pm$7.19,***,53.54$\pm$29.95,45.33$\pm$21.86,**,36.23$\pm$16.38,22.91$\pm$9.66,***,34.38$\pm$18.13,29.18$\pm$12.89,**
count_syllables_per_word,1.98$\pm$0.37,1.92$\pm$0.42,**,1.84$\pm$0.21,1.83$\pm$0.21,,1.43$\pm$0.18,1.37$\pm$0.19,**,1.4$\pm$0.19,1.39$\pm$0.19,*
count_words,11.47$\pm$2.49,9.65$\pm$3.8,***,31.31$\pm$16.44,28.96$\pm$14.81,*,26.27$\pm$11.07,17.25$\pm$6.85,***,25.5$\pm$12.63,24.63$\pm$12.09,
count_words_per_sentence,11.47$\pm$2.49,9.65$\pm$3.8,***,28.92$\pm$15.73,24.66$\pm$11.56,**,25.29$\pm$10.82,16.74$\pm$6.59,***,24.21$\pm$11.88,20.89$\pm$8.73,**
get_average_length_NP,3.69$\pm$1.63,3.26$\pm$1.6,,5.74$\pm$2.52,5.35$\pm$2.22,,5.13$\pm$2.36,4.18$\pm$1.88,,4.95$\pm$2.39,4.65$\pm$2.1,
get_average_length_VP,9.37$\pm$2.4,8.17$\pm$2.55,,18.27$\pm$8.38,16.75$\pm$7.04,,15.04$\pm$6.02,11.99$\pm$4.59,,14.54$\pm$6.32,13.51$\pm$5.4,
get_avg_length_PP,nan$\pm$nan,nan$\pm$nan,,nan$\pm$nan,nan$\pm$nan,,nan$\pm$nan,nan$\pm$nan,,nan$\pm$nan,nan$\pm$nan,
get_lexical_complexity_score,8.63$\pm$0.99,8.73$\pm$1.14,,8.8$\pm$0.79,8.77$\pm$0.79,,10.05$\pm$0.64,9.99$\pm$0.75,,10.08$\pm$0.68,10.08$\pm$0.68,
get_parse_tree_height,4.25$\pm$0.97,3.83$\pm$1.23,**,6.17$\pm$2.18,5.79$\pm$1.83,*,7.29$\pm$2.37,5.94$\pm$1.84,***,6.87$\pm$2.52,6.43$\pm$2.11,**
get_ratio_clauses,0.08$\pm$0.07,0.09$\pm$0.08,,0.08$\pm$0.05,0.08$\pm$0.05,,0.08$\pm$0.05,0.07$\pm$0.06,*,0.08$\pm$0.05,0.08$\pm$0.05,
get_ratio_mwes,0.0$\pm$0.02,0.0$\pm$0.01,,0.04$\pm$0.06,0.04$\pm$0.06,,0.06$\pm$0.06,0.06$\pm$0.07,*,0.05$\pm$0.06,0.05$\pm$0.06,
get_ratio_named_entities,0.0$\pm$0.0,0.0$\pm$0.0,,0.07$\pm$0.09,0.08$\pm$0.1,,0.14$\pm$0.12,0.13$\pm$0.14,,0.12$\pm$0.12,0.12$\pm$0.12,
get_ratio_of_adjectives,0.1$\pm$0.09,0.07$\pm$0.09,**,0.06$\pm$0.05,0.06$\pm$0.05,,0.07$\pm$0.05,0.06$\pm$0.06,*,0.06$\pm$0.06,0.06$\pm$0.06,
get_ratio_of_adpositions,0.09$\pm$0.07,0.08$\pm$0.08,,0.15$\pm$0.07,0.14$\pm$0.06,*,0.12$\pm$0.06,0.11$\pm$0.06,*,0.11$\pm$0.06,0.11$\pm$0.06,
get_ratio_of_adverbs,0.06$\pm$0.09,0.06$\pm$0.08,,0.04$\pm$0.05,0.04$\pm$0.05,,0.04$\pm$0.05,0.04$\pm$0.06,,0.05$\pm$0.05,0.05$\pm$0.05,
get_ratio_of_auxiliary_verbs,0.04$\pm$0.06,0.04$\pm$0.06,,0.04$\pm$0.04,0.04$\pm$0.04,,0.05$\pm$0.04,0.06$\pm$0.05,*,0.06$\pm$0.05,0.06$\pm$0.05,*
get_ratio_of_conjunctions,0.1$\pm$0.1,0.1$\pm$0.11,,0.07$\pm$0.06,0.07$\pm$0.06,,0.07$\pm$0.07,0.06$\pm$0.07,*,0.07$\pm$0.07,0.07$\pm$0.07,*
get_ratio_of_coordinating_clauses,0.02$\pm$0.04,0.02$\pm$0.04,,0.02$\pm$0.03,0.02$\pm$0.03,,0.02$\pm$0.03,0.02$\pm$0.03,,0.02$\pm$0.03,0.02$\pm$0.03,
get_ratio_of_determiners,0.06$\pm$0.07,0.05$\pm$0.07,*,0.13$\pm$0.06,0.13$\pm$0.06,,0.1$\pm$0.05,0.1$\pm$0.06,,0.1$\pm$0.06,0.1$\pm$0.06,
get_ratio_of_function_words,0.15$\pm$0.09,0.14$\pm$0.1,,0.2$\pm$0.07,0.19$\pm$0.07,,0.06$\pm$0.05,0.06$\pm$0.06,,0.06$\pm$0.05,0.06$\pm$0.05,
get_ratio_of_interjections,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.01,0.0$\pm$0.01,,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.01,0.0$\pm$0.01,
get_ratio_of_nouns,0.32$\pm$0.1,0.34$\pm$0.19,,0.3$\pm$0.08,0.3$\pm$0.08,,0.32$\pm$0.08,0.32$\pm$0.09,,0.31$\pm$0.08,0.3$\pm$0.08,
get_ratio_of_numerals,0.01$\pm$0.03,0.01$\pm$0.03,,0.01$\pm$0.03,0.01$\pm$0.03,,0.02$\pm$0.04,0.02$\pm$0.04,,0.02$\pm$0.04,0.02$\pm$0.04,
get_ratio_of_particles,0.0$\pm$0.02,0.0$\pm$0.01,,0.0$\pm$0.0,0.0$\pm$0.0,,0.03$\pm$0.03,0.03$\pm$0.04,,0.03$\pm$0.04,0.03$\pm$0.04,
get_ratio_of_pronouns,0.05$\pm$0.07,0.05$\pm$0.07,,0.05$\pm$0.05,0.04$\pm$0.05,,0.03$\pm$0.04,0.04$\pm$0.05,*,0.04$\pm$0.06,0.04$\pm$0.06,
get_ratio_of_punctuation,0.14$\pm$0.05,0.15$\pm$0.07,**,0.12$\pm$0.08,0.12$\pm$0.08,*,0.12$\pm$0.06,0.12$\pm$0.06,,0.14$\pm$0.08,0.14$\pm$0.08,
get_ratio_of_subordinate_clauses,0.04$\pm$0.05,0.04$\pm$0.06,,0.06$\pm$0.04,0.06$\pm$0.04,,0.05$\pm$0.04,0.05$\pm$0.05,,0.05$\pm$0.05,0.05$\pm$0.05,
get_ratio_of_symbols,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.01,0.0$\pm$0.01,,0.0$\pm$0.01,0.0$\pm$0.01,,0.0$\pm$0.01,0.0$\pm$0.01,
get_ratio_of_verbs,0.12$\pm$0.07,0.15$\pm$0.08,**,0.09$\pm$0.05,0.09$\pm$0.05,*,0.16$\pm$0.07,0.17$\pm$0.08,*,0.17$\pm$0.07,0.17$\pm$0.07,*
get_ratio_prepositional_phrases,0.09$\pm$0.07,0.08$\pm$0.08,,0.13$\pm$0.06,0.12$\pm$0.06,*,0.01$\pm$0.02,0.01$\pm$0.02,,0.01$\pm$0.02,0.01$\pm$0.02,
get_ratio_referential,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.01,0.0$\pm$0.01,,0.0$\pm$0.01,0.0$\pm$0.01,
get_ratio_relative_phrases,0.01$\pm$0.03,0.01$\pm$0.03,,0.02$\pm$0.02,0.02$\pm$0.02,,0.02$\pm$0.03,0.01$\pm$0.03,*,0.02$\pm$0.02,0.02$\pm$0.02,
get_type_token_ratio,0.97$\pm$0.05,0.97$\pm$0.05,,0.86$\pm$0.09,0.87$\pm$0.09,*,0.89$\pm$0.08,0.93$\pm$0.07,***,0.88$\pm$0.08,0.88$\pm$0.09,
is_non_projective,0.02$\pm$0.14,0.04$\pm$0.2,,0.03$\pm$0.18,0.03$\pm$0.17,,0.02$\pm$0.13,0.01$\pm$0.1,,0.02$\pm$0.14,0.02$\pm$0.13,
max_pos_in_freq_table,10.69$\pm$0.35,10.49$\pm$0.65,**,10.45$\pm$0.74,10.41$\pm$0.77,*,10.82$\pm$0.02,10.82$\pm$0.04,,10.81$\pm$0.21,10.81$\pm$0.21,
sentence_fkgl,15.38$\pm$5.06,14.24$\pm$4.94,**,20.28$\pm$6.23,19.4$\pm$5.73,**,12.63$\pm$4.57,8.73$\pm$3.56,***,12.46$\pm$5.23,11.99$\pm$4.99,*
sentence_fre,2.38$\pm$36.01,7.4$\pm$36.56,*,-0.81$\pm$27.45,1.58$\pm$27.18,*,45.79$\pm$20.75,59.51$\pm$20.64,***,45.05$\pm$24.39,47.03$\pm$23.81,*
N,,293,,,7529,,,141582,,,69185,
