feature,news,news,news,wiki,wiki,wiki,web,web,web
,complex,simple,effect size,complex,simple,effect size,complex,simple,effect size
average_pos_in_freq_table,7.87$\pm$0.79,7.85$\pm$0.81,,7.72$\pm$0.6,7.75$\pm$0.62,,4.67$\pm$0.75,4.81$\pm$0.71,**
check_if_head_is_noun,0.11$\pm$0.31,0.11$\pm$0.32,,0.29$\pm$0.45,0.27$\pm$0.44,,0.42$\pm$0.49,0.41$\pm$0.49,
check_if_head_is_verb,0.85$\pm$0.36,0.85$\pm$0.36,,0.71$\pm$0.46,0.71$\pm$0.45,,0.47$\pm$0.5,0.47$\pm$0.5,
check_if_one_child_of_root_is_subject,0.85$\pm$0.36,0.85$\pm$0.35,,0.72$\pm$0.45,0.72$\pm$0.45,,0.56$\pm$0.5,0.48$\pm$0.5,
check_passive_voice,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.0,0.0$\pm$0.0,,0.0$\pm$0.0,0.0$\pm$0.0,
count_characters,137.59$\pm$65.59,102.21$\pm$53.2,***,120.3$\pm$48.87,110.84$\pm$47.73,***,44.78$\pm$26.08,40.21$\pm$23.98,***
count_characters_per_sentence,129.35$\pm$64.35,91.99$\pm$42.15,***,114.55$\pm$48.91,104.3$\pm$46.58,***,43.35$\pm$25.92,39.39$\pm$22.11,**
count_characters_per_word,5.22$\pm$0.76,5.09$\pm$0.77,**,5.39$\pm$0.6,5.22$\pm$0.62,***,4.7$\pm$0.95,4.7$\pm$0.85,
count_sentences,1.11$\pm$0.33,1.13$\pm$0.37,,1.09$\pm$0.31,1.1$\pm$0.36,,1.07$\pm$0.26,1.02$\pm$0.16,*
count_syllables_in_sentence,37.87$\pm$18.62,28.09$\pm$15.56,***,33.24$\pm$13.74,30.68$\pm$13.45,***,16.42$\pm$8.98,14.67$\pm$8.28,***
count_syllables_per_sentence,35.54$\pm$18.12,25.2$\pm$12.27,***,31.66$\pm$13.75,28.86$\pm$13.1,**,15.89$\pm$8.99,14.39$\pm$7.8,**
count_syllables_per_word,1.44$\pm$0.22,1.39$\pm$0.23,**,1.49$\pm$0.2,1.44$\pm$0.2,**,1.73$\pm$0.33,1.72$\pm$0.32,
count_words,26.2$\pm$11.87,19.99$\pm$9.94,***,22.46$\pm$9.15,21.38$\pm$9.19,*,9.4$\pm$4.29,8.45$\pm$4.2,***
count_words_per_sentence,24.55$\pm$11.56,17.98$\pm$7.82,***,21.4$\pm$9.15,20.11$\pm$8.95,*,9.08$\pm$4.34,8.28$\pm$3.89,**
get_average_length_NP,5.48$\pm$2.51,4.68$\pm$2.1,,5.86$\pm$2.44,5.63$\pm$2.39,,4.77$\pm$2.18,4.43$\pm$1.94,
get_average_length_VP,15.47$\pm$6.31,12.86$\pm$5.0,,15.14$\pm$6.8,14.42$\pm$6.5,,9.57$\pm$4.49,8.98$\pm$4.13,
get_avg_length_PP,nan$\pm$nan,nan$\pm$nan,,nan$\pm$nan,nan$\pm$nan,,nan$\pm$nan,nan$\pm$nan,
get_lexical_complexity_score,10.01$\pm$0.71,9.97$\pm$0.77,,9.84$\pm$0.78,9.84$\pm$0.79,,7.41$\pm$1.53,7.32$\pm$1.46,
get_parse_tree_height,5.9$\pm$1.97,5.09$\pm$1.54,***,5.26$\pm$1.5,5.12$\pm$1.5,*,3.19$\pm$1.05,3.09$\pm$1.0,*
get_ratio_clauses,0.09$\pm$0.06,0.08$\pm$0.06,*,0.07$\pm$0.06,0.07$\pm$0.06,,0.02$\pm$0.05,0.02$\pm$0.05,
get_ratio_mwes,0.06$\pm$0.06,0.06$\pm$0.07,*,0.08$\pm$0.08,0.08$\pm$0.08,,0.01$\pm$0.03,0.01$\pm$0.03,
get_ratio_named_entities,0.14$\pm$0.13,0.13$\pm$0.14,,0.21$\pm$0.17,0.21$\pm$0.18,,0.0$\pm$0.03,0.0$\pm$0.03,
get_ratio_of_adjectives,0.07$\pm$0.05,0.06$\pm$0.06,,0.07$\pm$0.06,0.07$\pm$0.06,,0.06$\pm$0.07,0.07$\pm$0.08,*
get_ratio_of_adpositions,0.12$\pm$0.06,0.11$\pm$0.06,*,0.13$\pm$0.06,0.13$\pm$0.06,,0.06$\pm$0.07,0.06$\pm$0.08,
get_ratio_of_adverbs,0.04$\pm$0.05,0.05$\pm$0.06,,0.03$\pm$0.05,0.03$\pm$0.05,,0.11$\pm$0.11,0.09$\pm$0.11,*
get_ratio_of_auxiliary_verbs,0.05$\pm$0.04,0.05$\pm$0.05,*,0.05$\pm$0.04,0.05$\pm$0.04,*,0.09$\pm$0.07,0.11$\pm$0.08,***
get_ratio_of_conjunctions,0.07$\pm$0.07,0.06$\pm$0.07,*,0.07$\pm$0.08,0.07$\pm$0.08,,0.04$\pm$0.07,0.04$\pm$0.07,
get_ratio_of_coordinating_clauses,0.02$\pm$0.02,0.01$\pm$0.03,,0.01$\pm$0.02,0.01$\pm$0.02,,0.0$\pm$0.02,0.0$\pm$0.02,
get_ratio_of_determiners,0.1$\pm$0.06,0.1$\pm$0.06,,0.11$\pm$0.06,0.11$\pm$0.06,,0.14$\pm$0.07,0.17$\pm$0.08,***
get_ratio_of_function_words,0.17$\pm$0.06,0.17$\pm$0.07,,0.16$\pm$0.06,0.17$\pm$0.07,,0.14$\pm$0.08,0.16$\pm$0.09,**
get_ratio_of_interjections,0.0$\pm$0.01,0.0$\pm$0.01,,0.0$\pm$0.0,0.0$\pm$0.0,,0.01$\pm$0.03,0.0$\pm$0.02,
get_ratio_of_nouns,0.33$\pm$0.08,0.33$\pm$0.09,,0.35$\pm$0.09,0.35$\pm$0.09,,0.23$\pm$0.1,0.22$\pm$0.1,
get_ratio_of_numerals,0.02$\pm$0.04,0.02$\pm$0.04,,0.03$\pm$0.05,0.03$\pm$0.05,,0.02$\pm$0.06,0.02$\pm$0.06,*
get_ratio_of_particles,0.03$\pm$0.03,0.03$\pm$0.04,,0.01$\pm$0.03,0.01$\pm$0.03,,0.0$\pm$0.0,0.0$\pm$0.0,
get_ratio_of_pronouns,0.05$\pm$0.05,0.06$\pm$0.06,,0.03$\pm$0.04,0.03$\pm$0.04,*,0.07$\pm$0.08,0.05$\pm$0.07,**
get_ratio_of_punctuation,0.13$\pm$0.07,0.13$\pm$0.07,,0.12$\pm$0.06,0.12$\pm$0.06,*,0.2$\pm$0.09,0.15$\pm$0.05,***
get_ratio_of_subordinate_clauses,0.06$\pm$0.05,0.06$\pm$0.05,,0.03$\pm$0.04,0.03$\pm$0.04,,0.01$\pm$0.04,0.01$\pm$0.04,
get_ratio_of_symbols,0.0$\pm$0.01,0.0$\pm$0.01,,0.0$\pm$0.01,0.0$\pm$0.01,,0.0$\pm$0.0,0.0$\pm$0.0,
get_ratio_of_verbs,0.15$\pm$0.06,0.16$\pm$0.07,*,0.12$\pm$0.06,0.13$\pm$0.06,*,0.06$\pm$0.07,0.07$\pm$0.08,**
get_ratio_prepositional_phrases,0.1$\pm$0.06,0.1$\pm$0.06,*,0.12$\pm$0.06,0.12$\pm$0.06,,0.05$\pm$0.07,0.05$\pm$0.08,
get_ratio_referential,0.0$\pm$0.01,0.0$\pm$0.01,,0.0$\pm$0.01,0.0$\pm$0.01,,0.01$\pm$0.04,0.01$\pm$0.03,
get_ratio_relative_phrases,0.02$\pm$0.03,0.02$\pm$0.03,*,0.02$\pm$0.03,0.02$\pm$0.03,,0.0$\pm$0.02,0.0$\pm$0.02,
get_type_token_ratio,0.89$\pm$0.08,0.92$\pm$0.08,**,0.89$\pm$0.09,0.89$\pm$0.09,,0.95$\pm$0.08,0.95$\pm$0.08,*
is_non_projective,0.09$\pm$0.28,0.05$\pm$0.21,,0.07$\pm$0.25,0.06$\pm$0.24,,0.01$\pm$0.12,0.01$\pm$0.09,
max_pos_in_freq_table,10.8$\pm$0.19,10.8$\pm$0.2,,10.82$\pm$0.03,10.82$\pm$0.05,,8.67$\pm$1.58,8.49$\pm$1.57,*
sentence_fkgl,12.85$\pm$5.24,10.14$\pm$4.95,***,12.22$\pm$3.97,11.13$\pm$4.05,***,13.06$\pm$5.22,11.16$\pm$4.66,***
sentence_fre,43.89$\pm$25.85,53.49$\pm$26.73,***,42.31$\pm$21.38,48.73$\pm$21.68,***,14.91$\pm$36.24,27.96$\pm$31.91,***
N,,218589,,,19377,,,64900,
